"street","city","zip","state"
"7706  MUIRWOOD WAY","CITRUS HEIGHTS","95610","CA"
"6001  JEANINE DR","SACRAMENTO","95842","CA"
"5721  RIDGEPOINT DR","ANTELOPE","95843","CA"
"5405  TOPAZ AVE","ROCKLIN","95677","CA"
"9624  SWAN LAKE DR","GRANITE BAY","95746","CA"
"3805  GOLD RIDGE TRL","POLLOCK PINES","95726","CA"
"1312  GLADSTONE DR","SACRAMENTO","95864","CA"
"284  HARTNELL PL","SACRAMENTO","95825","CA"
"4501  WYMAN DR","SACRAMENTO","95821","CA"
"3152  GLENTANA WAY","ANTELOPE","95843","CA"
"541  SENATOR AVE","SACRAMENTO","95833","CA"
"7006  KINNEY ST","ORANGEVALE","95662","CA"
"27  ROSTO CT","SACRAMENTO","95823","CA"
"6760  18TH AVE","SACRAMENTO","95820","CA"
"1846  SMITH FLAT RD","PLACERVILLE","95667","CA"
"4217  SHANDWICK DR","ANTELOPE","95843","CA"
"8731  LOS BANOS WAY","ELK GROVE","95624","CA"
"3810  13TH AVE","SACRAMENTO","95820","CA"
"10913  ANZA WAY","RANCHO CORDOVA","95670","CA"
"809  HARVEY WAY","SACRAMENTO","95831","CA"
"6710  PAQUIN CT","SACRAMENTO","95828","CA"
"3311  ARBOR WAY","SACRAMENTO","95821","CA"
"449  TENAYA AVE","SACRAMENTO","95833","CA"
"815  NATOMA ST","FOLSOM","95630","CA"
"1305  MONROE CT","WOODLAND","95776","CA"
"8575  NEW MOUNTAIN WAY","SACRAMENTO","95828","CA"
"6718  SPRIG DR","SACRAMENTO","95842","CA"
"2621  NORWOOD AVE","SACRAMENTO","95815","CA"
"39  DEL VISTA CIR","SACRAMENTO","95823","CA"
"27  BLUEWIND CT","SACRAMENTO","95838","CA"
"4904  EARLCORT CIR","SACRAMENTO","95842","CA"
"3921  50TH ST","SACRAMENTO","95820","CA"
"3943  WARD AVE","NORTH HIGHLANDS","95660","CA"
"4544  WINTER OAK WAY","ANTELOPE","95843","CA"
"7956  GRANDSTAFF DR","SACRAMENTO","95823","CA"
"780  NORTHEY DR","SACRAMENTO","95833","CA"
"4280  ARCHEAN WAY","SACRAMENTO","95823","CA"
"497  ARCADE BLVD","SACRAMENTO","95815","CA"
"2280  HURLEY WAY Unit 73","SACRAMENTO","95825","CA"
"2927  SAN JOSE WAY","SACRAMENTO","95817","CA"
"842  ELEANOR AVE","SACRAMENTO","95815","CA"
"7108  CHANDLER DR","SACRAMENTO","95828","CA"
"3853  38TH ST","SACRAMENTO","95820","CA"
"5810  WALERGA RD","SACRAMENTO","95842","CA"
"3701  FABERGE WAY","SACRAMENTO","95826","CA"
"5170  BELLA VISTA CIR","FORESTHILL","95631","CA"
"6042  DEL ORO RD","GRANITE BAY","95746","CA"
"3346  11TH ST","SACRAMENTO","95818","CA"
"435  LINCOLN WAY","AUBURN","95603","CA"
"553  CRAZY HORSE CT","CAMERON PARK","95682","CA"
"6151  PRESTON CIR","ROCKLIN","95765","CA"
"2248  MARSHALL WAY","SACRAMENTO","95818","CA"
"9362  PARKSTONE CIR","ROSEVILLE","95747","CA"
"642  F ST","DAVIS","95616","CA"
"2283  MURATURA WAY","EL DORADO HILLS","95762","CA"
"5384  SANDBURG DR","SACRAMENTO","95819","CA"
"9812  MIRA DEL RIO DR","SACRAMENTO","95827","CA"
"2269  CALIFORNIA AVE","SOUTH LAKE TAHOE","96150","CA"
"2429  BLACK TERN WAY","ELK GROVE","95757","CA"
"4199  DENA WAY","SACRAMENTO","95821","CA"
"2917  HARBOUR VIEW LN","ELK GROVE","95758","CA"
"3467  FENDANT DR","RANCHO CORDOVA","95670","CA"
"2165  NUGGET CREEK CT","GOLD RIVER","95670","CA"
"6820  COPPER GLEN CIR","ROSEVILLE","95678","CA"
"4051  TILDEN DR","ROSEVILLE","95661","CA"
"9200  BROCKWAY SPRINGS DR","KINGS BEACH","96143","CA"
"1058  40TH ST","SACRAMENTO","95819","CA"
"117  CHIP SHOT WAY","ROSEVILLE","95678","CA"
"3111  BECERRA WAY","SACRAMENTO","95821","CA"
"2735  MARTY WAY","SACRAMENTO","95818","CA"
"1289  LORDEN CT","FOLSOM","95630","CA"
"16  CADMAN CT","SACRAMENTO","95835","CA"
"1208  SEGOLILY LN","LINCOLN","95648","CA"
"5232  WOODWELL CT","ANTELOPE","95843","CA"
"1433  CLAREMONT WAY","SACRAMENTO","95822","CA"
"225  BALD EAGLE CT","ROSEVILLE","95747","CA"
"1111  KENTUCKY FLAT RD","GEORGETOWN","95634","CA"
"6801  CASTRO VERDE WAY","ELK GROVE","95757","CA"
"1205  8TH AVE","SACRAMENTO","95818","CA"
"4161  SIERRA SPRINGS DR","POLLOCK PINES","95726","CA"
"6612  GRAND CANYON DR","ROCKLIN","95765","CA"
"1794  HARWOOD WAY","SACRAMENTO","95835","CA"
"7851  DOE TRAIL WAY","ANTELOPE","95843","CA"
"340  PRINCETON CT","ROSEVILLE","95661","CA"
"10155  FESTA CT","ELK GROVE","95757","CA"
"3600  ARDMORE RD","SACRAMENTO","95821","CA"
"6340  SAMOA WAY","CARMICHAEL","95608","CA"
"320  GROUSE DR","GALT","95632","CA"
"320  GROUSE DR","GALT","95632","CA"
"320  GROUSE DR","GALT","95632","CA"
"707  WARD WAY","FOLSOM","95630","CA"
"3305  KNOB HILL CT","ROCKLIN","95765","CA"
"3237  BABSON DR","ELK GROVE","95758","CA"
"9017  LANETRY CT","ELK GROVE","95758","CA"
"6819  24TH ST","RIO LINDA","95673","CA"
"4575  SAN SEBASTIAN WAY","SACRAMENTO","95823","CA"
"14  EL CONDE CT","SACRAMENTO","95833","CA"
"5136  OLEANDER DR","CARMICHAEL","95608","CA"
"8428  MILKY WAY","ORANGEVALE","95662","CA"
"9256  HEATHFIELD WAY","SACRAMENTO","95829","CA"
"7219  ALMOND AVE","ORANGEVALE","95662","CA"
"8549  DEWBERRY WAY","ELK GROVE","95624","CA"
"8629  UNDERHILL DR","SACRAMENTO","95828","CA"
"186  HERRINGTON DR","AUBURN","95603","CA"
"9455  ACAPULCO WAY","ELK GROVE","95624","CA"
"5784  SIERRA SPRINGS CT","POLLOCK PINES","95726","CA"
"4883  V ST","SACRAMENTO","95817","CA"
"8449  CUTLER WAY","SACRAMENTO","95828","CA"
"1810  ZURLO WAY","SACRAMENTO","95835","CA"
"9401  RIFTON CT","ELK GROVE","95758","CA"
"4308  GREENHOLME DR Unit 47","SACRAMENTO","95842","CA"
"2582  CLUBHOUSE DR","ROCKLIN","95765","CA"
"8720  SEVILLE CIR","GRANITE BAY","95746","CA"
"1028  CAMBRIA WAY","EL DORADO HILLS","95762","CA"
"9035  CAMINO DEL AVION","GRANITE BAY","95746","CA"
"3602  CLOVER VALLEY RD","ROCKLIN","95677","CA"
"105  CRESTA CT","LINCOLN","95648","CA"
"5000  ARTESIA RD","SHINGLE SPRINGS","95682","CA"
"1317  LA SIERRA DR","SACRAMENTO","95864","CA"
"1844  SWINTON DR","FOLSOM","95630","CA"
"809  SMOKEY GROVE CT","ROSEVILLE","95661","CA"
"2761  HUNTINGTON RD","SACRAMENTO","95864","CA"
"2833  ROYAL PALM WAY","CARMICHAEL","95608","CA"
"5020  ARTESIA RD","SHINGLE SPRINGS","95682","CA"
"1037  HOUSTON CIR","FOLSOM","95630","CA"
"2873  KING EDWARD DR","EL DORADO HILLS","95762","CA"
"3903  MOSSVIEW PL","EL DORADO HILLS","95762","CA"
"1753  ROSEHALL WAY","SACRAMENTO","95832","CA"
"152  STONINGTON WAY","FOLSOM","95630","CA"
"1029  HOUSTON CIR","FOLSOM","95630","CA"
"137  TOYON DR","AUBURN","95603","CA"
"2873  KING EDWARD DR","EL DORADO HILLS","95762","CA"
"8978  HAFLINGER WAY","ELK GROVE","95757","CA"
"3722  ABBY CT","ROCKLIN","95765","CA"
"6830  SYLVAN MEADOW CT","CITRUS HEIGHTS","95610","CA"
"3428  CLAYTON LN","LOOMIS","95650","CA"
"5572  LACKLAND WAY","SACRAMENTO","95835","CA"
"2963  DIORITE WAY","SACRAMENTO","95835","CA"
"7516  BRABHAM WAY","ELK GROVE","95758","CA"
"5160  CAMANCHE WAY","EL DORADO HILLS","95762","CA"
"10  GLENTRESS CT","SACRAMENTO","95833","CA"
"5424  OBEN FELL CT","ANTELOPE","95843","CA"
"11845  PROSPECT HILL DR","GOLD RIVER","95670","CA"
"170  JARVIS CIR","SACRAMENTO","95834","CA"
"7226  BONITA WAY","CITRUS HEIGHTS","95610","CA"
"2214  HARTER CT","FOLSOM","95630","CA"
"5655  LAGUNA QUAIL WAY","ELK GROVE","95758","CA"
"1717  VENICE DR","SOUTH LAKE TAHOE","96150","CA"
"9650  MCKENNA DR","ELK GROVE","95757","CA"
"26488  BARB WIRE LN","COLFAX","95713","CA"
"5008  MENDOCINO WAY","EL DORADO HILLS","95762","CA"
"8977  ROBBINS RD","SACRAMENTO","95829","CA"
"2314  C ST","SACRAMENTO","95816","CA"
"7021  SHORT OAK WAY","ORANGEVALE","95662","CA"
"1832  CARNEILIAN DR","ROSEVILLE","95747","CA"
"8371  WHEATLAND DR","SACRAMENTO","95828","CA"
"4935  ANDREA BLVD","SACRAMENTO","95842","CA"
"9590  CASTLEBRIDGE CT","ELK GROVE","95758","CA"
"8726  MESA BROOK WAY","ELK GROVE","95624","CA"
"10096  UPSHAW WAY","ELK GROVE","95757","CA"
"8109  GREENOCK WAY","ANTELOPE","95843","CA"
"5349  BRAMBLE WAY","SACRAMENTO","95841","CA"
"10143  OMEARA DR","SACRAMENTO","95829","CA"
"352  SUMMER GROVE CIR","ROSEVILLE","95678","CA"
"8137  GLEN TREE DR","CITRUS HEIGHTS","95610","CA"
"3051  PINNACLE CT","SHINGLE SPRINGS","95682","CA"
"8041  ALTA VISTA LN","CITRUS HEIGHTS","95610","CA"
"980  ARUNDEL WAY","SACRAMENTO","95833","CA"
"47  KELSO CIR","SACRAMENTO","95833","CA"
"4141  37TH AVE","SACRAMENTO","95824","CA"
"8344  WHITE SPRUCE DR","ANTELOPE","95843","CA"
"2017  EDISON AVE","SACRAMENTO","95821","CA"
"8464  CRYSTAL WALK CIR","ELK GROVE","95758","CA"
"5732  HWY    193","GEORGETOWN","95634","CA"
"8312  CHARLOTTE AVE","CITRUS HEIGHTS","95610","CA"
"235  C ST","GALT","95632","CA"
"2390  KENWORTHY WAY","SACRAMENTO","95832","CA"
"4970  TOPAZ AVE","ROCKLIN","95677","CA"
"7252  PLEASANT VIEW DR","CITRUS HEIGHTS","95610","CA"
"6652  GRAHAM CIR","CITRUS HEIGHTS","95610","CA"
"2050  KIRK WAY","SACRAMENTO","95822","CA"
"3684  LOWRY DR","NORTH HIGHLANDS","95660","CA"
"4112  8TH AVE","SACRAMENTO","95817","CA"
"6513  HOLIDAY WAY","NORTH HIGHLANDS","95660","CA"
"2438  CATALINA DR","SACRAMENTO","95864","CA"
"2854  BENDMILL WAY","SACRAMENTO","95833","CA"
"3733  RIPLEY ST","SACRAMENTO","95838","CA"
"5091  RIFFLES LN","POLLOCK PINES","95726","CA"
"6003  VIA CASITAS AVE","CARMICHAEL","95608","CA"
"5704  LARRY AVE","CITRUS HEIGHTS","95610","CA"
"3558  CABALLERO LN","ANTELOPE","95843","CA"
"3604  40TH ST","SACRAMENTO","95817","CA"
"4112  MORIAH WAY","NORTH HIGHLANDS","95660","CA"
"7330  LITTLE OAKS WAY","CITRUS HEIGHTS","95621","CA"
"5454  TARES CIR","ELK GROVE","95757","CA"
"3236  DEL MAR WAY","SACRAMENTO","95815","CA"
"5166  CONNECTICUT DR Unit 1","SACRAMENTO","95841","CA"
"7110  CHANDLER DR","SACRAMENTO","95828","CA"
"13065  LINCOLN WAY Unit 10","AUBURN","95603","CA"
"271  TAHOE WOODS BLVD","TAHOE CITY","96145","CA"
"7115  LOOMIS HILLS RD","LOOMIS","95650","CA"
"9696  CLOS DU LAC CIR","LOOMIS","95650","CA"
"2925  SIENNA LN","SACRAMENTO","95864","CA"
"149  MAMMOTH DR","TAHOE CITY","96145","CA"
"6403  SHINGLE RD","SHINGLE SPRINGS","95682","CA"
"7212  DANBERG WAY","ELK GROVE","95757","CA"
"4020  RIVA RIDGE DR","FAIR OAKS","95628","CA"
"17780  CROTHER HILLS RD","MEADOW VISTA","95722","CA"
"4512  PHEASANT LN","ROCKLIN","95765","CA"
"1801  POTRERO WAY","SACRAMENTO","95822","CA"
"1801  POTRERO WAY","SACRAMENTO","95822","CA"
"1895  SILVER TIP DR","TAHOE CITY","96145","CA"
"8510  NOB HILL LN","GRANITE BAY","95746","CA"
"1167  VILLAGIO DR","EL DORADO HILLS","95762","CA"
"1167  VILLAGIO DR","EL DORADO HILLS","95762","CA"
"1350  PINTAIL WAY","LINCOLN","95648","CA"
"104  MIRAMONT CT","EL DORADO HILLS","95762","CA"
"1252  KONDOS AVE","SACRAMENTO","95814","CA"
"3601  COLONY CT","PLACERVILLE","95667","CA"
"301  FIELDBROOK CT","ROSEVILLE","95747","CA"
"201  PRESCOTT CT","ROSEVILLE","95746","CA"
"2524  BLACK TERN WAY","ELK GROVE","95757","CA"
"1173  KINGFISHER CIR","FOLSOM","95630","CA"
"5000  LAGUNA WOODS DR","ELK GROVE","95758","CA"
"2915  CANTERBURY CIR","EL DORADO HILLS","95762","CA"
"6221  CRYSTAL BLVD","EL DORADO","95623","CA"
"4117  ARENZANO WAY","EL DORADO HILLS","95762","CA"
"2125  MARCHITA WAY","CARMICHAEL","95608","CA"
"581  PLATT CIR","EL DORADO HILLS","95762","CA"
"308  WILLOW GLEN DR","ROSEVILLE","95678","CA"
"4131  TRINIDAD DR","CAMERON PARK","95682","CA"
"9718  OTTER BAY CT","ELK GROVE","95757","CA"
"108  CLYDESDALE WAY","ROSEVILLE","95678","CA"
"6085  WYNNEWOOD WAY","SACRAMENTO","95823","CA"
"8466  CEANOTHUS CT","ELK GROVE","95624","CA"
"5121  KENNETH AVE","CARMICHAEL","95608","CA"
"4313  MAGNIFICA LN","SACRAMENTO","95827","CA"
"108  CLYDESDALE WAY","ROSEVILLE","95678","CA"
"221  BILL BEAN CIR","SACRAMENTO","95835","CA"
"12663  PRINCETON DR","AUBURN","95603","CA"
"640  GARDEN PARK DR","ROSEVILLE","95678","CA"
"525  PEACE WATER CT","ROSEVILLE","95747","CA"
"5040  FIVE SPOT RD","POLLOCK PINES","95726","CA"
"920  STONEMAN WAY","EL DORADO HILLS","95762","CA"
"2714  DANUBE AVE","DAVIS","95616","CA"
"2402  CLEMSON DR","DAVIS","95618","CA"
"1821  CHARM WAY","SACRAMENTO","95835","CA"
"9160  TORINO WAY","SACRAMENTO","95829","CA"
"12055  HOLLY VISTA WAY","AUBURN","95603","CA"
"10001  MOSAIC WAY","ELK GROVE","95757","CA"
"2160  SHADY ARBOR DR","SACRAMENTO","95833","CA"
"5508  SAGEHEN CT","LOOMIS","95650","CA"
"4142  BESTAFA CT","PLACERVILLE","95667","CA"
"9493  BAYPOINT WAY","ELK GROVE","95624","CA"
"3217  FOGGY BANK WAY","SACRAMENTO","95833","CA"
"8550  MCPHETRIDGE DR","ELK GROVE","95624","CA"
"9055  TESTERMAN WAY","ELK GROVE","95758","CA"
"1957  RICHFIELD WAY","SACRAMENTO","95832","CA"
"6348  CERROMAR CIR","ORANGEVALE","95662","CA"
"161  SUTLEY CIR","SACRAMENTO","95835","CA"
"821  BUSSING CT","FOLSOM","95630","CA"
"4671  LARSON WAY","SACRAMENTO","95822","CA"
"2301  STEPPING STONE LN","LINCOLN","95648","CA"
"5721  MOON CREEK WAY","ELK GROVE","95758","CA"
"2506  47TH AVE","SACRAMENTO","95822","CA"
"9260  BALBOA PARK WAY","ELK GROVE","95624","CA"
"4000  DEER TRAIL WAY","SACRAMENTO","95823","CA"
"3610  DAYTON ST","SACRAMENTO","95838","CA"
"316  BAYONNE CT","ROSEVILLE","95747","CA"
"9520  KELLINGWORTH CT","SACRAMENTO","95827","CA"
"5704  GIBBONS DR","CARMICHAEL","95608","CA"
"5705  STANLEY DR","AUBURN","95602","CA"
"2307  UTAH AVE","SOUTH LAKE TAHOE","96150","CA"
"1407  FUHRMAN CT","ROSEVILLE","95747","CA"
"3709  DRIVER WAY","ANTELOPE","95843","CA"
"442  HARTNELL PL","SACRAMENTO","95825","CA"
"3007  61ST ST","SACRAMENTO","95820","CA"
"8711  CORD WAY","SACRAMENTO","95828","CA"
"8533  BLACK KITE DR","ELK GROVE","95624","CA"
"3228  WESTWOOD DR","ROCKLIN","95677","CA"
"3407  EISENHOWER DR","SACRAMENTO","95826","CA"
"8229  HEMINGWAY DR","SACRAMENTO","95828","CA"
"8960  CYPRESS VIEW WAY","ELK GROVE","95758","CA"
"4445  ARMADALE WAY","SACRAMENTO","95823","CA"
"2637  PALO VISTA WAY","RANCHO CORDOVA","95670","CA"
"1246  APACHE AVE","SOUTH LAKE TAHOE","96150","CA"
"1523  ROWENA WAY","SACRAMENTO","95864","CA"
"147  STEPHEN AVE","AUBURN","95603","CA"
"6217  LEOLA WAY","SACRAMENTO","95824","CA"
"2812  BARBARELL WAY","SACRAMENTO","95821","CA"
"7752  19TH ST","SACRAMENTO","95832","CA"
"2811  SETON HILL CT","SACRAMENTO","95826","CA"
"461  HARDING AVE","SACRAMENTO","95833","CA"
"4429  IOWA AVE","SACRAMENTO","95824","CA"
"3472  DAVIDSON DR","ANTELOPE","95843","CA"
"6917  SANDROCK WAY","SACRAMENTO","95828","CA"
"2612  KOKANEE WAY","SACRAMENTO","95826","CA"
"4500  61ST ST","SACRAMENTO","95820","CA"
"648  SHASTA OAKS CIR","ROSEVILLE","95678","CA"
"5442  BEGONIA DR","POLLOCK PINES","95726","CA"
"2640  ELWOOD AVE","SOUTH LAKE TAHOE","96150","CA"
"4451  WINDING WAY","SACRAMENTO","95841","CA"
"8253  GLENDON WAY","SACRAMENTO","95829","CA"
"450  STOCKMAN LN","LINCOLN","95648","CA"
"8405  VILLAVIEW DR","CITRUS HEIGHTS","95621","CA"
"8613  TIOGAWOODS DR","SACRAMENTO","95828","CA"
"501  P ST","LINCOLN","95648","CA"
"7241  MANUEL ST","RIO LINDA","95673","CA"
"2716  PANAY CT","CARMICHAEL","95608","CA"
"6021  16TH AVE","SACRAMENTO","95820","CA"
"7670  GRAMONT WAY","SACRAMENTO","95823","CA"
"2843  MOULTON DR","PLACERVILLE","95667","CA"
"8509  ALEKSANDER CT","SACRAMENTO","95828","CA"
"9725  HAWKINS CT","ELK GROVE","95624","CA"
"7809  VALLECITOS WAY","SACRAMENTO","95828","CA"
"6916  SANDROCK WAY","SACRAMENTO","95828","CA"
"5356  VICHY CIR","ANTELOPE","95843","CA"
"612  E ST","GALT","95632","CA"
"7711  18TH ST","SACRAMENTO","95832","CA"
"10  SPIKE CT","SACRAMENTO","95823","CA"
"3692  PAYNE WAY","NORTH HIGHLANDS","95660","CA"
"6324 L SLIPPERY CREEK LN","CITRUS HEIGHTS","95621","CA"
"7510  PIXCROFT CT","SACRAMENTO","95842","CA"
"2237  FERNLEY AVE","SACRAMENTO","95815","CA"
"5101  SULLY ST","SACRAMENTO","95838","CA"
"1986  BENITA DR Unit 3","RANCHO CORDOVA","95670","CA"
"220  WALES DR","FOLSOM","95630","CA"
"3801  MILTON WAY","NORTH HIGHLANDS","95660","CA"
"1306  HELENA AVE","SACRAMENTO","95815","CA"
"3059  CALLECITA ST","SACRAMENTO","95815","CA"
"8529  CENTER PKWY","SACRAMENTO","95823","CA"
"3546  6TH AVE","SACRAMENTO","95817","CA"
"3813  MCCLELLAN DR","NORTH HIGHLANDS","95660","CA"
"3821  ALDER ST","SACRAMENTO","95838","CA"
"535  ELEANOR AVE","SACRAMENTO","95815","CA"
"5075  LAGUNA DR","SACRAMENTO","95823","CA"
"4042  8TH AVE","SACRAMENTO","95817","CA"
"7516  TAMOSHANTER WAY","SACRAMENTO","95822","CA"
"6030  40TH AVE","SACRAMENTO","95824","CA"
"10901  COLOMA RD Unit 3","RANCHO CORDOVA","95670","CA"
"894 E WOODSIDE LN Unit 1","SACRAMENTO","95825","CA"
"5178  CONNECTICUT DR Unit 3","SACRAMENTO","95841","CA"
"3720  PINELL ST","SACRAMENTO","95838","CA"
"5459  PRIMROSE DR","CITRUS HEIGHTS","95610","CA"
"863  DRUM POWERHOUSE RD","ALTA","95701","CA"
"923  FULTON AVE","SACRAMENTO","95825","CA"
"2644  WILLIAM AVE","SOUTH LAKE TAHOE","96150","CA"
"7601  LOUCRETA DR","SACRAMENTO","95828","CA"
"4343  SHINING STAR DR Unit 2","SACRAMENTO","95823","CA"
"8756  MAPLE HOLLOW CT","GRANITE BAY","95746","CA"
"12701  RIMFIRE DR","WILTON","95693","CA"
"8235  OAK KNOLL DR","GRANITE BAY","95746","CA"
"6502  EATON CT","GRANITE BAY","95746","CA"
"2234  SEBASTIAN WAY","ROSEVILLE","95661","CA"
"11040  SUNRISE RIDGE CIR","AUBURN","95603","CA"
"6227  CAZADOR","RANCHO MURIETA","95683","CA"
"1433  EASY LN","EL DORADO HILLS","95762","CA"
"3467  SHERWOOD CT","LOOMIS","95650","CA"
"689  LARSON WAY","FOLSOM","95630","CA"
"2463  SUMMER DR","EL DORADO HILLS","95762","CA"
"10848  BIANCO WAY","RANCHO CORDOVA","95670","CA"
"6473  CORMORANT CIR","ROCKLIN","95765","CA"
"12025  PROSPECT HILL DR","GOLD RIVER","95670","CA"
"12025  PROSPECT HILL DR","GOLD RIVER","95670","CA"
"104  KENNAR WAY","FOLSOM","95630","CA"
"4205  ZEPHYR WAY","SACRAMENTO","95821","CA"
"529  FISHER CIR","FOLSOM","95630","CA"
"5565  CAVITT STALLMAN RD","GRANITE BAY","95746","CA"
"9553  WADENA WAY","ELK GROVE","95758","CA"
"1609  TRUSCOTT CT","ROSEVILLE","95661","CA"
"1804  HIAWATHA DR","ROSEVILLE","95747","CA"
"5100  ADELINA WAY","CARMICHAEL","95608","CA"
"839  COMMONS DR","SACRAMENTO","95825","CA"
"6316  WOODCREEK DR","CITRUS HEIGHTS","95621","CA"
"6308  MALLARD CT","ROCKLIN","95765","CA"
"7616  MILLPORT DR","ROSEVILLE","95678","CA"
"8174  FINMERE WAY","SACRAMENTO","95829","CA"
"409  DUNBARTON CIR","SACRAMENTO","95825","CA"
"9744  SUMMER GLEN WAY","ELK GROVE","95757","CA"
"5406  CASA GRANDE AVE","ROCKLIN","95677","CA"
"2613  AMERICAN AVE","SACRAMENTO","95833","CA"
"2240  QUARRY WAY","ROCKLIN","95765","CA"
"41  ROLLINGBROOK CIR","SACRAMENTO","95833","CA"
"2254  MYRICK RD","SOMERSET","95684","CA"
"10049  PRAIRIE DUNES WAY","SACRAMENTO","95829","CA"
"1520  WIMBLEDON DR","AUBURN","95603","CA"
