Account ID,Policy ID,Peril,Line of Business,Product Line,Branch,Underwriter,Expiration Date,Premium,Limit,Layer Amount,Attachment Point,Blanket/Minimum Deductible,Maximum Deductible,
637,94,Earthquake,commercial,large commercial,pacific,Joe,12/31/13,8100,"5,000,000","5,000,000","10,000,000","25,000",0,637
638,95,Earthquake,commercial,large commercial,pacific,John,12/31/13,8700,"5,000,000","5,000,000",0,"25,000",0,638
639,96,Earthquake,commercial,large commercial,pacific,Greg,12/31/13,3600,"5,000,000","5,000,000",5000000,"25,000",0,639
640,97,Earthquake,commercial,large commercial,pacific,Joe,12/31/13,8400,"5,000,000","15,000,000","10,000,000","100,000",0,640
641,98,Earthquake,commercial,large commercial,pacific,Sue,12/31/13,6500,"5,000,000","15,000,000","10,000,000","50,000",0,641
642,99,Earthquake,commercial,large commercial,pacific,Sue,12/31/13,5456,"9,750,000","9,750,000","25,000,000","100,000",0,642
643,100,Earthquake,commercial,large commercial,pacific,Nancy,12/31/13,10710,"5,000,000","50,000,000","100,000,000","250,000",0,643
644,101,Earthquake,commercial,large commercial,pacific,Greg,12/31/13,5616,"5,000,000","50,000,000","100,000,000","250,000",0,644
645,102,Earthquake,commercial,large commercial,pacific,Nancy,12/31/13,4365,"10,000,000","25,000,000","25,000,000","100,000",0,645
646,103,Earthquake,commercial,large commercial,pacific,Sue,12/31/13,13884,"10,000,000","25,000,000","25,000,000","250,000",0,646
647,104,Earthquake,commercial,large commercial,pacific,Nancy,12/31/13,8800,"5,000,000","15,000,000","10,000,000","100,000",0,647
648,105,Earthquake,commercial,large commercial,pacific,Joe,12/31/13,5400,"5,000,000","15,000,000","10,000,000",100000,0,648
649,106,Earthquake,commercial,large commercial,pacific,Nancy,12/31/13,4500,"7,104,648","7,104,648",0,"10,000",0,649
1284,204,Earthquake,commercial,large commercial,gulf,George S,12/31/13,82133,"11,872,047","11,872,047","10,000,000",0,0,1284
1285,205,Earthquake,commercial,large commercial,gulf,Mandy M,12/31/13,17370,"10,000,000","25,000,000","25,000,000","250,000",0,1285
1286,206,Earthquake,commercial,large commercial,pacific,Kelley N,12/31/13,30702,"4,000,000","20,000,000","30,000,000",1000000,0,1286
1287,207,Earthquake,commercial,large commercial,pacific,Amanda A,12/31/13,13080,"4,000,000","20,000,000",30000000,"50,000",0,1287
1288,208,Earthquake,commercial,large commercial,pacific,Nick P,12/31/13,1537200,"35,000,000","100,000,000","200,000,000","250,000",0,1288
1289,209,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,5788.008,"5,000,000","5,000,000","5,000,000","5,000,000",0,1289
1290,210,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,518.694,"5,000,000","5,000,000","5,000,000","25,000",0,1290
1291,211,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,4840,"5,000,000","10,000,000",0,"250,000",0,1291
1292,212,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,1854,"6,574,160","6,574,160",0,"100,000",0,1292
1293,213,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,1875,"19,063,954","44,063,954","20,000,000",0,0,1293
1294,214,Earthquake,commercial,large commercial,pacific,Wayne,12/31/13,1114.35,"5,000,000","20,000,000",0,"100,000",0,1294
1295,215,Earthquake,commercial,large commercial,pacific,George S,12/31/13,22316,"35,000,000","100,000,000","200,000,000","250,000",0,1295
1296,216,Earthquake,commercial,large commercial,pacific,Kelley N,12/31/13,4692,"12,500,000","25,000,000","25,000,000","25,000",0,1296
1297,217,Earthquake,commercial,large commercial,pacific,Kelly M,12/31/13,2940.6,"12,500,000","25,000,000","25,000,000","100,000",0,1297
1298,218,Earthquake,commercial,large commercial,pacific,Nick P,12/31/13,2736.56,"2,910,000","2,910,000","1,500,000","37,500",0,1298
1299,219,Earthquake,commercial,large commercial,pacific,Laura A,12/31/13,1800,"7,500,000","15,000,000","30,000,000","100,000",0,1299
1909,320,Earthquake,commercial,large commercial,gulf,Wayne,12/31/13,323.904,"5,000,000","20,000,000",0,"250,000",0,1909
1910,321,Earthquake,commercial,large commercial,gulf,Wayne,12/31/13,373.516,"10,000,000","10,000,000","5,000,000","50,000",0,1910
1911,322,Earthquake,commercial,large commercial,gulf,Wayne,12/31/13,425.975,"10,000,000","10,000,000","20,000,000",0,0,1911
1912,323,Earthquake,commercial,large commercial,gulf,Wayne,12/31/13,446.368,"7,500,000","7,500,000","2,500,000","100,000",0,1912
1913,324,Earthquake,commercial,large commercial,pacific,Wayne,12/31/13,306.702,"3,800,000","3,800,000",0,"100,000",0,1913
1914,325,Earthquake,commercial,large commercial,pacific,Jacob,12/31/13,603.865,"9,000,000","9,000,000","1,000,000","250,000",0,1914
1915,326,Earthquake,commercial,large commercial,pacific,Lisa,12/31/13,369.408,"5,000,000","5,000,000","5,000,000","100,000",0,1915
1916,327,Earthquake,commercial,large commercial,pacific,Jacob,12/31/13,281.472,"8,460,800","8,460,800",0,"100,000",0,1916
1917,328,Earthquake,commercial,large commercial,pacific,Jacob,12/31/13,348.84,"2,500,000","2,500,000",0,"25,000",0,1917
1918,329,Earthquake,commercial,large commercial,pacific,Wayne,12/31/13,374.348,"2,322,000","2,322,000",0,"100,000",0,1918
1919,330,Earthquake,commercial,large commercial,pacific,Lisa,12/31/13,288.864,"4,912,000","4,912,000",0,"4,304,000",0,1919
1920,331,Earthquake,commercial,large commercial,pacific,Lisa,12/31/13,427.525,"3,500,000","150,000,000",0,"5,000,000",0,1920
1921,332,Earthquake,commercial,large commercial,pacific,Lisa,12/31/13,279.12,"3,500,000","3,500,000",0,0,0,1921
1922,333,Earthquake,commercial,large commercial,pacific,Wayne,12/31/13,239.736,"5,000,000","5,000,000","5,000,000","25,000",0,1922
1923,334,Earthquake,commercial,large commercial,pacific,Jacob,12/31/13,507.935,"7,500,000","25,000,000","50,000,000","100,000",0,1923
1924,335,Earthquake,commercial,large commercial,pacific,Lisa,12/31/13,426.894,"7,500,000","25,000,000","50,000,000","250,000",0,1924
1925,336,Earthquake,commercial,large commercial,pacific,Jacob,12/31/13,278.82,"4,425,000","4,425,000",0,"100,000",0,1925
1926,337,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,866.894,"5,000,000","15,000,000","10,000,000","25,000",0,1926
1927,338,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,339.283,"10,000,000","25,000,000","25,000,000","250,000",0,1927
1928,339,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,626.2,"5,000,000","25,000,000",25000000,"100,000",0,1928
1929,340,Earthquake,commercial,large commercial,pacific,Lisa,12/31/13,299.85,"6,550,000","6,550,000",0,"100,000",0,1929
1930,341,Earthquake,commercial,large commercial,pacific,Lisa,12/31/13,340.398,"5,000,000","15,000,000",0,"7,500,000",0,1930
1931,342,Earthquake,commercial,large commercial,pacific,Lisa,12/31/13,498.33,"1,500,000","3,000,000",0,"100,000",0,1931
2539,436,Earthquake,commercial,large commercial,gulf,Jacob,2/28/13,899.4,"10,000,000","200,000,000",100000000,"5,000,000",0,2539
2540,437,Earthquake,commercial,large commercial,gulf,Jacob,2/28/13,1515.801,"10,000,000","200,000,000",100000000,"5,000,000",0,2540
2541,438,Earthquake,commercial,large commercial,gulf,Jacob,2/28/13,884.286,"5,000,000","25,000,000","25,000,000","100,000",0,2541
2542,439,Earthquake,commercial,large commercial,gulf,Wayne,2/28/13,559.734,"5,000,000","25,000,000",25000000,"25,000",0,2542
2543,440,Earthquake,commercial,large commercial,gulf,Jacob,2/28/13,754.6,"4,339,068","4,339,068",0,"100,000",0,2543
2544,441,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,756.44,"5,000,000","25,000,000",10000000,"25,000",0,2544
2545,442,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,904.152,"5,000,000","25,000,000","10,000,000","100,000",0,2545
2546,443,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,996.66,"5,000,000","100,000,000","100,000,000","100,000",0,2546
2547,444,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,465.108,"5,000,000","5,000,000",0,5,0,2547
2548,445,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,963.438,"2,500,000","2,500,000",0,"25,000",0,2548
2549,446,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,790.495,"5,000,000","5,000,000","5,000,000","5,000,000",0,2549
2550,447,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,479.388,"5,000,000","5,000,000","5,000,000","25,000",0,2550
2551,448,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,774.396,"5,000,000","15,000,000","25,000,000","100,000",0,2551
2552,449,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,405.636,"10,000,000","50,000,000",50000000,"100,000",0,2552
2553,450,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,833.815,"3,750,000","75,000,000","100,000,000","100,000",0,2553
2554,451,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,554.136,"3,750,000","75,000,000","100,000,000","100,000",0,2554
2555,452,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,926.88,"25,000,000","250,000,000",250000000,"100,000",0,2555
2556,453,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,919.56,"12,500,000","250,000,000","250,000,000",0,25000000,2556
2557,454,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,503.558,"12,500,000","250,000,000","250,000,000",0,50000000,2557
2558,455,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,767.42,"2,437,500","75,000,000","25,000,000","1,000,000",0,2558
2559,456,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,894.432,"2,437,500","75,000,000","25,000,000","1,000,000",0,2559
2560,457,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,764.25,"2,500,000","100,000,000","100,000,000","1,000,000",0,2560
2561,458,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,530.148,"2,500,000","100,000,000","100,000,000","1,000,000",0,2561
2562,459,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,877.052,"4,600,000","4,600,000",0,"100,000",0,2562
2563,460,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,1324.008,"5,000,000","250,000,000","250,000,000","1,000,000",0,2563
2564,461,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,996.65,"5,000,000","250,000,000","250,000,000","1,000,000",0,2564
3185,560,Earthquake,commercial,large commercial,gulf,Lisa,2/28/13,2069.034,"1,875,000","25,000,000","50,000,000","25,000",0,3185
3186,561,Earthquake,commercial,large commercial,gulf,Wayne,2/28/13,1183.529,"1,875,000","25,000,000","50,000,000",100000,0,3186
3187,562,Earthquake,commercial,large commercial,gulf,Jacob,2/28/13,1183.529,"1,000,000","15,000,000",0,750000,0,3187
3188,563,Earthquake,commercial,large commercial,gulf,Jacob,2/28/13,919.884,"1,000,000","15,000,000",0,"750,000",0,3188
3189,564,Earthquake,commercial,large commercial,gulf,Jacob,2/28/13,2521.597,"3,332,600","3,332,600",0,"25,000",0,3189
3190,565,Earthquake,commercial,large commercial,gulf,Lisa,2/28/13,1839.768,"750,000","15,000,000","35,000,000","5,000,000",25000000,3190
3191,566,Earthquake,commercial,large commercial,gulf,Wayne,2/28/13,1444.506,"750,000","15,000,000","35,000,000",1000000,0,3191
3192,567,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,1785.965,"175,000","175,000",0,0,75000,3192
3193,568,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,1173.84,"6,250,000","125,000,000",100000000,"1,000,000",0,3193
3194,569,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,1182.656,"6,250,000","125,000,000",100000000,"1,000,000",0,3194
3195,570,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,970.256,"18,750,000","375,000,000","225,000,000","1,000,000",0,3195
3196,571,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,672.408,"18,750,000","375,000,000","225,000,000","1,000,000",0,3196
3197,572,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,1222.56,"2,500,000","50,000,000","75,000,000","25,000,000",0,3197
3198,573,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,886.015,"2,500,000","50,000,000","50,000,000","50,000,000",0,3198
3199,574,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,1806.439,"10,400,000","160,000,000",40000000,"1,000,000",0,3199
3200,575,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,706.02,"10,400,000","160,000,000",40000000,"1,000,000",0,3200
3201,576,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,1068.824,"10,000,000","80,000,000","25,000,000","25,000",0,3201
3202,577,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,1512.945,"10,000,000","80,000,000","25,000,000","2,500,000",0,3202
3203,578,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,1348.627,"5,000,000","5,000,000","5,000,000","50,000",0,3203
3204,579,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,1513.491,"10,000,000","10,000,000",0,"25,000",0,3204
3205,580,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,1693.175,"5,000,000","5,000,000",0,"25,000",0,3205
3206,581,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,1497.645,"2,500,000","25,000,000","25,000,000","5,000,000",0,3206
3207,582,Earthquake,commercial,large commercial,pacific,Jacob,2/28/13,716.265,"2,811,937","2,811,937",0,"5,000",0,3207
3208,583,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,1627.875,"2,811,937","2,811,937",0,"25,000",0,3208
3209,584,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,1544.808,"5,070,000","5,070,000",0,"100,000",0,3209
3224,586,Earthquake,commercial,large commercial,pacific,Wayne,6/30/13,379.95825,"1,316,000","1,316,000",0,0,0,3224
3224,586,Hurricane,commercial,large commercial,pacific,Wayne,6/30/13,705.63675,"24,000","24,000",0,"1,000",0,3224
3225,587,Earthquake,commercial,large commercial,pacific,Lisa,2/28/13,834.196,"12,500,000","25,000,000","25,000,000","250,000",0,3225
3226,588,Earthquake,commercial,large commercial,pacific,Wayne,2/28/13,2208.959,"4,900,000","4,900,000",0,"25,000",0,3226
3234,592,Earthquake,commercial,industrial,all other,Jacob,2/28/13,1078.266,"5,000,000","100,000,000",0,"500,000",0,3234
3240,594,Earthquake,residential,ho8,gulf,Lisa,2/28/13,2017.2,"15,000,000","25,000,000","25,000,000","25,000",0,3240
3249,596,Earthquake,residential,ho8,pacific,Lisa,6/30/13,832.2048,"19,000","19,000",0,"1,000",0,3249
3249,596,Hurricane,residential,ho8,pacific,Lisa,6/30/13,1545.5232,"19,000","19,000",0,"1,000",0,3249
3250,597,Earthquake,residential,ho8,pacific,Lisa,2/28/13,1994.132,"5,675,000","75,000,000",0,"1,000,000",0,3250
3261,599,Earthquake,residential,ho8,all other,Jacob,2/28/13,1835.496,"5,675,000","75,000,000",0,"1,000,000",0,3261
3263,600,Earthquake,residential,ho8,gulf,Lisa,2/28/13,1811.71,"25,000,000","25,000,000",50000000,"250,000",0,3263
3614,664,Earthquake,residential,ho4,gulf,Wayne,2/28/13,2743.7,"18,000,000","53,560,000","50,000,000","250,000",0,3614
3615,665,Earthquake,residential,ho4,gulf,Lisa,2/28/13,1646.22,"18,000,000","53,560,000","50,000,000","50,000",0,3615
3616,666,Earthquake,residential,ho4,gulf,Wayne,2/28/13,2073.812,"3,000,000","25,000,000","25,000,000","250,000",0,3616
3617,667,Earthquake,residential,ho4,gulf,Jacob,2/28/13,1550.52,"1,000,000","40,000,000","10,000,000","10,000,000",0,3617
3618,668,Earthquake,residential,ho4,gulf,Wayne,2/28/13,2182.656,"15,000,000","15,000,000","60,000,000","25,000",0,3618
3619,669,Earthquake,residential,ho4,gulf,Lisa,2/28/13,905.29,"3,783,250","3,783,250",0,"100,000",0,3619
3620,670,Earthquake,residential,ho4,gulf,Jacob,2/28/13,1729.692,"3,750,000","35,000,000",15000000,"500,000",0,3620
3621,671,Earthquake,residential,ho4,gulf,Jacob,2/28/13,3102.111,"3,750,000","35,000,000","15,000,000","250,000",0,3621
3622,672,Earthquake,residential,ho4,gulf,Wayne,2/28/13,3299.492,"12,500,000","25,000,000","75,000,000","50,000",0,3622
3623,673,Earthquake,residential,ho4,gulf,Lisa,2/28/13,1123.43,"10,000,000","20,000,000","10,000,000","25,000",0,3623
3624,674,Earthquake,residential,ho4,gulf,Wayne,2/28/13,2518.803,"10,000,000","20,000,000","10,000,000","50,000",0,3624
3625,675,Earthquake,residential,ho4,gulf,Wayne,2/28/13,1319.373,"4,500,000","75,000,000",25000000,"50,000,000",0,3625
3626,676,Earthquake,residential,ho4,gulf,Lisa,2/28/13,3598.29,"4,500,000","75,000,000","25,000,000","50,000,000",0,3626
3627,677,Earthquake,residential,ho4,gulf,Jacob,2/28/13,2158.974,"4,000,000","9,000,000","35,000,000","100,000",0,3627
3628,678,Earthquake,residential,ho4,gulf,Wayne,2/28/13,2758.689,"4,000,000","9,000,000","35,000,000","100,000",0,3628
3629,679,Earthquake,residential,ho4,gulf,Wayne,2/28/13,1799.145,"3,750,000","75,000,000","75,000,000","2,500,000",0,3629
3630,680,Earthquake,residential,ho4,gulf,Wayne,2/28/13,2998.575,"3,750,000","75,000,000","75,000,000","2,500,000",0,3630
3631,681,Earthquake,residential,ho4,gulf,Jacob,2/28/13,2956.954,"20,499,000","56,499,000","15,000,000","150,000",0,3631
3632,682,Earthquake,residential,ho4,gulf,Wayne,2/28/13,1575.546,"20,499,000","56,499,000","15,000,000","25,000",0,3632
3633,683,Earthquake,residential,ho4,pacific,Wayne,2/28/13,1319.373,"4,500,000","15,000,000","15,000,000","1,000,000",0,3633
3634,684,Earthquake,residential,ho4,pacific,Jacob,2/28/13,2926.419,"4,500,000","15,000,000","15,000,000","100,000",0,3634
3635,685,Earthquake,residential,ho4,pacific,Jacob,2/28/13,3238.461,"14,943,577","14,943,577",0,100000,0,3635
3636,686,Earthquake,residential,ho4,pacific,Wayne,2/28/13,2317.28,"10,000,000","20,000,000","10,000,000","250,000",0,3636
3637,687,Earthquake,residential,ho4,pacific,Wayne,2/28/13,1471.302,"10,000,000","20,000,000","10,000,000","250,000",0,3637
3638,688,Earthquake,residential,ho4,pacific,Wayne,2/28/13,3244.612,"2,500,000","50,000,000","50,000,000","250,000",0,3638
3639,689,Earthquake,residential,ho4,pacific,Wayne,2/28/13,1832.668,"2,500,000","50,000,000","50,000,000","250,000",0,3639
3640,690,Earthquake,residential,ho4,pacific,Wayne,2/28/13,1337.71,"5,000,000","50,000,000","100,000,000","250,000",0,3640
3641,691,Earthquake,residential,ho4,pacific,Jacob,2/28/13,3198.475,"10,000,000","10,000,000",20000000,"25,000",0,3641
3642,692,Earthquake,residential,ho4,pacific,Jacob,2/28/13,1271.39,"5,000,000","50,000,000","150,000,000","1,000,000",0,3642
3643,693,Earthquake,residential,ho4,pacific,Jacob,2/28/13,1278.708,"5,000,000","100,000,000","100,000,000","250,000",0,3643
3644,694,Earthquake,residential,ho4,pacific,Jacob,2/28/13,2408.14,"5,000,000","100,000,000","100,000,000","250,000",0,3644
3645,695,Earthquake,residential,ho4,pacific,Lisa,2/28/13,3156.4,"10,493,201","10,493,201","5,000,000","100,000",0,3645
3646,696,Earthquake,residential,ho4,pacific,Lisa,2/28/13,2606.875,"7,500,000","75,000,000","25,000,000","25,000",0,3646
3647,697,Earthquake,residential,ho4,pacific,Wayne,2/28/13,2234.096,"7,500,000","75,000,000","25,000,000","100,000",0,3647
3648,698,Earthquake,residential,ho4,pacific,Jacob,2/28/13,1749.84,"2,500,000","25,000,000",0,"100,000",0,3648
3649,699,Earthquake,residential,ho4,pacific,Jacob,2/28/13,1647.792,"2,500,000","25,000,000",0,"500,000",0,3649
3650,700,Earthquake,residential,ho4,pacific,Lisa,2/28/13,2911.05,"2,743,430","2,743,430",0,"100,000",0,3650
3651,701,Earthquake,residential,ho4,pacific,Jacob,2/28/13,1439.494,"3,738,000","3,738,000",0,"100,000",0,3651
3652,702,Earthquake,residential,ho4,pacific,Wayne,2/28/13,1493.888,"400,000","400,000",0,"100,000",0,3652
3653,703,Earthquake,residential,ho4,pacific,Wayne,2/28/13,1938.81,"5,000,000","50,000,000","100,000,000","1,000,000",10000000,3653
3654,704,Earthquake,residential,ho4,pacific,Jacob,2/28/13,2598.76,"1,882,000","1,882,000","500,000","5,000",0,3654
3655,705,Earthquake,residential,ho4,pacific,Jacob,2/28/13,2598.96,"900,000","900,000",0,"100,000",0,3655
3656,706,Earthquake,residential,ho4,pacific,Wayne,2/28/13,3615.64,"4,750,000","25,000,000","100,000,000","50,000,000",0,3656
3657,707,Earthquake,residential,ho4,pacific,Wayne,2/28/13,1286.63,"4,750,000","25,000,000","100,000,000","50,000,000",0,3657
3658,708,Earthquake,residential,ho4,pacific,Jacob,2/28/13,1889.104,"10,000,000","10,000,000",10000000,"100,000",0,3658
3659,709,Earthquake,residential,ho4,pacific,Jacob,2/28/13,2489.31,"6,405,447","38,425,000",0,"25,000",0,3659
3660,710,Earthquake,residential,ho4,pacific,Wayne,2/28/13,5176.8,"6,405,447","38,425,000",0,0,0,3660
3661,711,Earthquake,residential,ho4,pacific,Jacob,2/28/13,1723.384,"6,746,250","26,985,000",0,"50,000",0,3661
3662,712,Earthquake,residential,ho4,pacific,Jacob,2/28/13,3630.278,"6,746,250","26,985,000",0,"25,000",0,3662
3663,713,Earthquake,residential,ho4,pacific,Wayne,2/28/13,1544.732,"10,000,000","50,000,000","50,000,000","100,000",0,3663
3664,714,Earthquake,residential,ho4,pacific,Lisa,2/28/13,3066.196,"2,500,000","15,000,000","35,000,000","100,000",0,3664
3665,715,Earthquake,residential,ho4,pacific,Wayne,2/28/13,2590.26,"3,500,000","50,000,000","50,000,000","250,000",0,3665
3666,716,Earthquake,residential,ho4,pacific,Lisa,2/28/13,2244.153,"3,500,000","50,000,000",50000000,"500,000",0,3666
3667,717,Earthquake,residential,ho4,pacific,Jacob,2/28/13,2926.625,"9,707,871","9,707,871",0,"100,000",0,3667
3668,718,Earthquake,residential,ho4,pacific,Lisa,2/28/13,3297.588,"2,500,000","20,000,000",0,"100,000",0,3668
3669,719,Earthquake,residential,ho4,pacific,Lisa,2/28/13,2708.733,"10,000,000","15,000,000","25,000,000","100,000",0,3669
3670,720,Earthquake,residential,ho4,pacific,Jacob,2/28/13,2826.504,"2,500,000","25,000,000","25,000,000","100,000",0,3670
3671,721,Earthquake,residential,ho4,pacific,Jacob,2/28/13,3184.368,"5,000,000","50,000,000",50000000,"100,000",0,3671
3672,722,Earthquake,residential,ho4,pacific,Wayne,2/28/13,4172.04,"15,000,000","150,000,000",100000000,"100,000",0,3672
3673,723,Earthquake,residential,ho4,pacific,Jacob,2/28/13,2210.112,"800,000","2,000,000",0,"100,000",0,3673
3674,724,Earthquake,residential,ho4,pacific,Jacob,2/28/13,1763.712,"15,000,000","25,000,000","25,000,000","75,000",0,3674
4014,792,Earthquake,residential,ho4,gulf,Wayne,3/31/13,3082.302,"3,500,000","20,000,000","10,000,000","1,000,000",5000000,4014
4015,793,Earthquake,residential,ho4,gulf,Lisa,3/31/13,3406.985,"2,500,000","50,000,000","50,000,000","100,000",0,4015
4016,794,Earthquake,residential,ho4,gulf,Jacob,3/31/13,3756.102,"2,500,000","50,000,000","50,000,000","100,000",0,4016
4017,795,Earthquake,residential,ho4,gulf,Jacob,3/31/13,2682.93,"5,000,000","5,000,000","5,000,000","50,000",0,4017
4018,796,Earthquake,residential,ho4,gulf,Jacob,3/31/13,4113.826,"10,000,000","10,000,000","15,000,000",0,0,4018
4019,797,Earthquake,residential,ho4,gulf,Wayne,3/31/13,4829.274,"2,500,000","2,500,000",0,0,0,4019
4020,798,Earthquake,residential,ho4,gulf,Wayne,3/31/13,4666.83,"2,750,000","2,750,000",0,0,0,4020
4021,799,Earthquake,residential,ho4,gulf,Jacob,3/31/13,2658.647,"5,000,000","50,000,000",50000000,"100,000",0,4021
4023,801,Earthquake,residential,ho4,gulf,Jacob,3/31/13,3474.948,"5,000,000","25,000,000",25000000,0,0,4023
4024,802,Earthquake,residential,ho4,gulf,Jacob,3/31/13,1815.07,"14,599,000","14,599,000",20000000,0,0,4024
4025,803,Earthquake,residential,ho4,gulf,Jacob,3/31/13,2099.878,"2,325,000","2,325,000",0,0,0,4025
4026,804,Earthquake,residential,ho4,gulf,Wayne,3/31/13,4766.95,"1,250,000","10,000,000",0,"250,000",0,4026
4027,805,Earthquake,residential,ho4,gulf,Jacob,3/31/13,1594.64,"1,250,000","10,000,000",0,"100,000",0,4027
4028,806,Earthquake,residential,ho4,gulf,Lisa,3/31/13,4681.456,"2,500,000","5,000,000",15000000,"250,000",0,4028
4029,807,Earthquake,residential,ho4,gulf,Lisa,3/31/13,5681.49,"2,500,000","5,000,000","15,000,000","100,000",0,4029
4030,808,Earthquake,residential,ho4,gulf,Jacob,3/31/13,4042.05,"5,000,000","15,000,000","10,000,000","250,000",0,4030
4031,809,Earthquake,residential,ho4,gulf,Jacob,3/31/13,3781.296,"5,000,000","15,000,000",10000000,"250,000",0,4031
4032,810,Earthquake,residential,ho4,gulf,Wayne,3/31/13,1955.415,"25,000,000","150,000,000","50,000,000","100,000",0,4032
4033,811,Earthquake,residential,ho4,gulf,Wayne,3/31/13,2729.248,"25,000,000","150,000,000","50,000,000","50,000",0,4033
